epoch,train_loss,val_loss,train_acc,val_acc,lr
1,3.405459,91.503759,0.071779,0.084962,0.00010000
2,3.196260,84.436090,0.125825,0.155639,0.00010000
3,2.993334,79.812030,0.177390,0.201880,0.00010000
4,2.839383,77.443609,0.208793,0.225564,0.00010000
5,2.707310,75.526316,0.243996,0.244737,0.00010000
6,2.589428,73.082707,0.274028,0.269173,0.00010000
7,2.474399,69.962406,0.301420,0.300376,0.00010000
8,2.371524,69.360902,0.327440,0.306391,0.00010000
9,2.286886,67.481203,0.351243,0.325188,0.00010000
10,2.198105,65.563910,0.374096,0.344361,0.00010000
11,2.108520,65.338346,0.402544,0.346617,0.00010000
12,2.034285,64.210526,0.422494,0.357895,0.00010000
13,1.968674,63.233083,0.446192,0.367669,0.00010000
14,1.897416,62.781955,0.464137,0.372180,0.00010000
15,1.813427,61.804511,0.487465,0.381955,0.00010000
16,1.756215,59.360902,0.505410,0.406391,0.00010000
17,1.704221,57.781955,0.520241,0.422180,0.00010000
18,1.643114,61.879699,0.541933,0.381203,0.00010000
19,1.578883,57.030075,0.566739,0.429699,0.00010000
20,1.546980,58.759398,0.571331,0.412406,0.00010000
21,1.484919,56.992481,0.591334,0.430075,0.00010000
22,1.438751,60.300752,0.607431,0.396992,0.00010000
23,1.395689,58.082707,0.619940,0.419173,0.00010000
24,1.371295,58.195489,0.630918,0.418045,0.00001000
25,1.192052,53.458647,0.692827,0.465414,0.00001000
26,1.146003,52.932331,0.709453,0.470677,0.00001000
27,1.107434,52.819549,0.725181,0.471805,0.00001000
28,1.081903,53.308271,0.734259,0.466917,0.00001000
29,1.061743,52.481203,0.740909,0.475188,0.00001000
30,1.034940,53.195489,0.745765,0.468045,0.00001000
31,1.008908,53.045113,0.755476,0.469549,0.00001000
32,0.997427,53.120301,0.762601,0.468797,0.00000100
33,0.977351,53.345865,0.766982,0.466541,0.00000100
34,0.968265,52.819549,0.770571,0.471805,0.00000100
35,0.959944,52.969925,0.776376,0.470301,0.00000010
36,0.959987,52.330827,0.778382,0.476692,0.00000010
37,0.958225,53.759398,0.775321,0.462406,0.00000010
38,0.947535,52.894737,0.779912,0.471053,0.00000010
39,0.957968,52.669173,0.780862,0.473308,0.00000001
40,0.962621,52.969925,0.773315,0.470301,0.00000001
