epoch,train_loss,val_loss,train_acc,val_acc,lr
1,2.381507,29.586466,0.392579,0.704135,0.00010000
2,1.195212,20.601504,0.699067,0.793985,0.00010000
3,0.833394,17.406015,0.784036,0.825940,0.00010000
4,0.659022,16.428571,0.828992,0.835714,0.00010000
5,0.564035,15.676692,0.854580,0.843233,0.00010000
6,0.490460,15.187970,0.874509,0.848120,0.00010000
7,0.445814,15.827068,0.886895,0.841729,0.00010000
8,0.415407,15.375940,0.893573,0.846241,0.00010000
9,0.381477,16.804511,0.904684,0.831955,0.00001000
